collegeAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,name
4426349,61,Georgia,SEC,Jacksonville,2022,Travon Walker
4372099,130,Michigan,Big Ten,Detroit,2022,Aidan Hutchinson
4426434,99,LSU,SEC,Houston,2022,Derek Stingley Jr.
4427250,2132,Cincinnati,American Athletic,New York,2022,Ahmad Gardner
4426326,2483,Oregon,Pac-12,New York,2022,Kayvon Thibodeaux
4427132,152,NC State,ACC,Carolina,2022,Ikem Ekwonu
4567134,333,Alabama,SEC,New York,2022,Evan Neal
4426502,30,USC,Pac-12,Atlanta,2022,Drake London
4426376,344,Mississippi State,SEC,Seattle,2022,Charles Cross
4569618,194,Ohio State,Big Ten,New York,2022,Garrett Wilson
4361370,194,Ohio State,Big Ten,New Orleans,2022,Chris Olave
4426388,333,Alabama,SEC,Detroit,2022,Jameson Williams
4381558,61,Georgia,SEC,Philadelphia,2022,Jordan Davis
4575517,87,Notre Dame,FBS Independents,Baltimore,2022,Kyle Hamilton
4426327,245,Texas A&M,SEC,Houston,2022,Kenyon Green
4361409,213,Penn State,Big Ten,Washington,2022,Jahan Dotson
4247347,103,Boston College,ACC,Los Angeles,2022,Zion Johnson
4567156,8,Arkansas,SEC,Tennessee,2022,Treylon Burks
4248627,2460,Northern Iowa,MVFC,New Orleans,2022,Trevor Penning
4240703,221,Pittsburgh,ACC,Pittsburgh,2022,Kenny Pickett
4426405,264,Washington,Pac-12,Kansas City,2022,Trent McDuffie
4379416,61,Georgia,SEC,Green Bay,2022,Quay Walker
4567399,57,Florida,SEC,Buffalo,2022,Kaiir Elam
4568652,202,Tulsa,American Athletic,Dallas,2022,Tyler Smith
4360499,2294,Iowa,Big Ten,Baltimore,2022,Tyler Linderbaum
4567962,52,Florida State,ACC,New York,2022,Jermaine Johnson II
4243256,254,Utah,Pac-12,Jacksonville,2022,Devin Lloyd
4361791,61,Georgia,SEC,Green Bay,2022,Devonte Wyatt
4051001,236,Chattanooga,Southern,New England,2022,Cole Strange
4426659,2509,Purdue,Big Ten,Kansas City,2022,George Karlaftis
4426422,130,Michigan,Big Ten,Cincinnati,2022,Daxton Hill
4426536,61,Georgia,SEC,Minnesota,2022,Lewis Cine
4360189,248,Houston,American Athletic,Tampa Bay,2022,Logan Hall
4248528,2449,North Dakota State,MVFC,Green Bay,2022,Christian Watson
4371973,2,Auburn,SEC,Tennessee,2022,Roger McCreary
4427366,66,Iowa State,Big 12,New York,2022,Breece Hall
4241223,239,Baylor,Big 12,Houston,2022,Jalen Pitre
4257591,213,Penn State,Big Ten,Atlanta,2022,Arnold Ebiketie
4361093,264,Washington,Pac-12,Chicago,2022,Kyler Gordon
4240754,135,Minnesota,Big Ten,Seattle,2022,Boye Mafe
4567048,127,Michigan State,Big Ten,Seattle,2022,Ken Walker III
4426344,228,Clemson,ACC,Minnesota,2022,Andrew Booth Jr.
4569587,96,Kentucky,SEC,New York,2022,Wan'Dale Robinson
4567096,333,Alabama,SEC,Houston,2022,John Metchie III
4426507,130,Michigan,Big Ten,Baltimore,2022,David Ojabo
4259994,96,Kentucky,SEC,Detroit,2022,Josh Paschal
4241468,333,Alabama,SEC,Washington,2022,Phidarian Mathis
4570044,213,Penn State,Big Ten,Chicago,2022,Jaquan Brisker
4369835,2633,Tennessee,SEC,New Orleans,2022,Alontae Taylor
4362921,239,Baylor,Big 12,New England,2022,Tyquan Thornton
4361178,158,Nebraska,Big Ten,Philadelphia,2022,Cameron Jurgens
4426354,61,Georgia,SEC,Pittsburgh,2022,George Pickens
4360078,2132,Cincinnati,American Athletic,Indianapolis,2022,Alec Pierce
4430191,2711,Western Michigan,Mid-American,Kansas City,2022,Skyy Moore
4361307,36,Colorado State,Mountain West,Arizona,2022,Trey McBride
4567242,145,Ole Miss,SEC,Dallas,2022,Sam Williams
4380507,2117,Central Michigan,Mid-American,Tampa Bay,2022,Luke Goedeke
4247807,147,Montana State,Big Sky,Atlanta,2022,Troy Andersen
4242227,99,LSU,SEC,Minnesota,2022,Ed Ingram
4361196,158,Nebraska,Big Ten,Cincinnati,2022,Cam Taylor-Britt
4569511,30,USC,Pac-12,San Francisco,2022,Drake Jackson
4247726,2132,Cincinnati,American Athletic,Kansas City,2022,Bryan Cook
4379399,61,Georgia,SEC,Buffalo,2022,James Cook
4360259,201,Oklahoma,Big 12,Denver,2022,Nik Bonitto
4035048,96,Kentucky,SEC,Jacksonville,2022,Luke Fortner
4360255,201,Oklahoma,Big 12,Minnesota,2022,Brian Asamoah
4373280,153,North Carolina,ACC,New York,2022,Joshua Ezeudu
4429568,344,Mississippi State,SEC,Cleveland,2022,Martin Emerson
4361368,194,Ohio State,Big Ten,Tennessee,2022,Nicholas Petit-Frere
4361707,2751,Wyoming,Mountain West,Jacksonville,2022,Chad Muma
4035693,2633,Tennessee,SEC,Chicago,2022,Velus Jones Jr.
4245171,265,Washington State,Pac-12,Seattle,2022,Abraham Lucas
4241410,258,Virginia,ACC,Indianapolis,2022,Jelani Woods
4239086,2132,Cincinnati,American Athletic,Atlanta,2022,Desmond Ridder
4567099,333,Alabama,SEC,Houston,2022,Christian Harris
4362139,41,Connecticut,FBS Independents,Baltimore,2022,Travis Jones
4362580,2117,Central Michigan,Mid-American,Indianapolis,2022,Bernhard Raimann
4570119,5,UAB,Conference USA,Cleveland,2022,Alex Wright
4362917,239,Baylor,Big 12,Los Angeles,2022,JT Woods
4367209,26,UCLA,Pac-12,Denver,2022,Greg Dulcich
4429607,99,LSU,SEC,New York,2022,Cordale Flott
4243457,98,Western Kentucky,Conference USA,Atlanta,2022,DeAngelo Malone
4426340,61,Georgia,SEC,Philadelphia,2022,Nakobe Dean
4426359,245,Texas A&M,SEC,Pittsburgh,2022,DeMarvin Leal
4241720,248,Houston,American Athletic,New England,2022,Marcus Jones
4242512,2335,Liberty,FBS Independents,Tennessee,2022,Malik Willis
4361510,21,San Diego State,Mountain West,Arizona,2022,Cameron Thomas
4249417,6,South Alabama,Sun Belt,Dallas,2022,Jalen Tolbert
4259166,239,Baylor,Big 12,Buffalo,2022,Terrel Bernard
4243375,235,Memphis,American Athletic,Las Vegas,2022,Dylan Parham
4697815,9,Arizona State,Pac-12,Tampa Bay,2022,Rachaad White
4426411,26,UCLA,Pac-12,Green Bay,2022,Sean Rhyan
4426475,99,LSU,SEC,San Francisco,2022,Tyrion Davis-Price
4362874,145,Ole Miss,SEC,Carolina,2022,Matt Corral
4240619,57,Florida,SEC,Cincinnati,2022,Zachary Carter
4426403,120,Maryland,Big Ten,Indianapolis,2022,Nick Cross
4360383,356,Illinois,Big Ten,Detroit,2022,Kerby Joseph
4241474,333,Alabama,SEC,Washington,2022,Brian Robinson Jr.
4570409,2509,Purdue,Big Ten,Cleveland,2022,David Bell
4360080,2132,Cincinnati,American Athletic,Arizona,2022,Myjai Sanders
4361372,194,Ohio State,Big Ten,New York,2022,Jeremy Ruckert
4379414,61,Georgia,SEC,Miami,2022,Channing Tindall
4426901,275,Wisconsin,Big Ten,Kansas City,2022,Leo Chenal
4242347,275,Wisconsin,Big Ten,Los Angeles,2022,Logan Bruss
4689546,2567,SMU,American Athletic,San Francisco,2022,Danny Gray
4243331,264,Washington,Pac-12,Tampa Bay,2022,Cade Otton
4360238,57,Florida,SEC,Houston,2022,Dameon Pierce
4686470,201,Oklahoma,Big 12,Cleveland,2022,Perrion Winfrey
4239094,2132,Cincinnati,American Athletic,Seattle,2022,Coby Bryant
4360964,135,Minnesota,Big Ten,Baltimore,2022,Daniel Faalele
4373656,309,Louisiana,Sun Belt,New York,2022,Max Mitchell
4361516,21,San Diego State,Mountain West,New York,2022,Daniel Bellinger
4363097,309,Louisiana,Sun Belt,Washington,2022,Percy Butler
4426686,2294,Iowa,Big Ten,New York,2022,Dane Belton
4240707,221,Pittsburgh,ACC,Denver,2022,Damarri Mathis
4066109,66,Iowa State,Big 12,Denver,2022,Eyioma Uwazurike
4240896,245,Texas A&M,SEC,New York,2022,Micheal Clemons
4244607,142,Missouri,SEC,Minnesota,2022,Akayleb Evans
4372017,333,Alabama,SEC,Baltimore,2022,Jalyn Armour-Davis
4575416,213,Penn State,Big Ten,Carolina,2022,Brandon Smith
4035686,9,Arizona State,Pac-12,New England,2022,Jack Jones
4361777,61,Georgia,SEC,Las Vegas,2022,Zamir White
4426891,245,Texas A&M,SEC,Los Angeles,2022,Isaiah Spiller
4428963,99,LSU,SEC,Cleveland,2022,Cade York
4362186,2641,Texas Tech,Big 12,Miami,2022,Erik Ezukanma
4242234,99,LSU,SEC,Las Vegas,2022,Neil Farrell Jr.
4249836,2571,South Dakota State,MVFC,New England,2022,Pierre Strong Jr.
4241263,66,Iowa State,Big 12,Baltimore,2022,Charlie Kolar
4242355,275,Wisconsin,Big Ten,Dallas,2022,Jake Ferguson
4260224,213,Penn State,Big Ten,Baltimore,2022,Jordan Stout
4372071,130,Michigan,Big Ten,Tennessee,2022,Hassan Haskins
4361432,2440,Nevada,Mountain West,Green Bay,2022,Romeo Doubs
4379396,61,Georgia,SEC,Tampa Bay,2022,Jake Camarda
4362999,2636,UT San Antonio,Conference USA,San Francisco,2022,Spencer Burford
4917635,2220,Fayetteville State,CIAA,Kansas City,2022,Joshua Williams
4040950,2449,North Dakota State,MVFC,Cincinnati,2022,Cordell Volson
4250360,98,Western Kentucky,Conference USA,New England,2022,Bailey Zappe
4243389,235,Memphis,American Athletic,Pittsburgh,2022,Calvin Austin III
4361050,324,Coastal Carolina,Sun Belt,Baltimore,2022,Isaiah Likely
4240435,154,Wake Forest,ACC,Green Bay,2022,Zach Tom
4567480,248,Houston,American Athletic,Baltimore,2022,Damarion Williams
4384549,2569,South Carolina State,MEAC,Los Angeles,2022,Decobie Durant
4360635,120,Maryland,Big Ten,Tennessee,2022,Chigoziem Okonkwo
4426875,153,North Carolina,ACC,Washington,2022,Sam Howell
4362611,96,Kentucky,SEC,Kansas City,2022,Darian Kinnard
4371961,84,Indiana,Big Ten,New York,2022,Micah McFadden
4242899,9,Arizona State,Pac-12,New York,2022,D.J. Davidson
4373678,68,Boise State,Mountain West,Buffalo,2022,Khalil Shakir
4361438,2440,Nevada,Mountain West,Washington,2022,Cole Turner
4360749,24,Stanford,Pac-12,Houston,2022,Thomas Booker
4373626,252,BYU,FBS Independents,Atlanta,2022,Tyler Allgeier
4360287,201,Oklahoma,Big 12,Denver,2022,Delarrin Turner-Yell
4245185,2636,UT San Antonio,Conference USA,Seattle,2022,Tariq Woolen
4567246,145,Ole Miss,SEC,Jacksonville,2022,Snoop Conner
4370876,155,North Dakota,MVFC,Dallas,2022,Matt Waletzko
4372019,2132,Cincinnati,American Athletic,Cleveland,2022,Jerome Ford
4250392,2534,Sam Houston State,AWC,Tampa Bay,2022,Zyon McCollum
4361340,194,Ohio State,Big Ten,Seattle,2022,Tyreke Smith
4050971,2623,Missouri State,MVFC,Indianapolis,2022,Eric Johnson
4367210,26,UCLA,Pac-12,Los Angeles,2022,Otito Ogbonnia
4241007,2026,Appalachian State,Sun Belt,New Orleans,2022,D'Marco Jackson
4248822,2535,Samford,Southern,Denver,2022,Montrell Washington
4367175,26,UCLA,Pac-12,Tennessee,2022,Kyle Philips
4430737,87,Notre Dame,FBS Independents,Los Angeles,2022,Kyren Williams
4240759,135,Minnesota,Big Ten,Minnesota,2022,Esezi Otomewo
4257240,2649,Toledo,Mid-American,Cincinnati,2022,Tycen Anderson
4248911,278,Fresno State,Mountain West,Dallas,2022,DaRon Bland
4251007,253,Southern Utah,Big Sky,Chicago,2022,Braxton Jones
4242431,153,North Carolina,ACC,Minnesota,2022,Ty Chandler
4374045,204,Oregon State,Pac-12,Houston,2022,Teagan Quitoriano
4039018,264,Washington,Pac-12,Denver,2022,Luke Wattenberg
4280416,2649,Toledo,Mid-American,San Francisco,2022,Samuel Womack
4240673,153,North Carolina,ACC,New York,2022,Marcus McKethan
4244300,193,Miami (OH),Mid-American,Chicago,2022,Dominique Robinson
4242457,2633,Tennessee,SEC,Las Vegas,2022,Matthew Butler
4362636,99,LSU,SEC,Dallas,2022,Damone Clark
4361988,259,Virginia Tech,ACC,Detroit,2022,James Mitchell
4248047,8,Arkansas,SEC,Dallas,2022,John Ridgeway
4362840,2579,South Carolina,SEC,Green Bay,2022,Kingsley Enagbare
4361496,21,San Diego State,Mountain West,Buffalo,2022,Matt Araiza
4241302,2305,Kansas,Big 12,Philadelphia,2022,Kyron Johnson
4239121,2132,Cincinnati,American Athletic,New York,2022,Darrian Beavers
4570674,2579,South Carolina,SEC,New England,2022,Kevin Harris
4240554,356,Illinois,Big Ten,Minnesota,2022,Vederian Lowe
4379778,222,Villanova,CAA,Buffalo,2022,Christian Benford
4036834,21,San Diego State,Mountain West,Chicago,2022,Zachary Thomas
4247590,2230,Fordham,Patriot,San Francisco,2022,Nick Zakelj
4241411,197,Oklahoma State,Big 12,Detroit,2022,Malcolm Rodriguez
4568439,259,Virginia Tech,ACC,Carolina,2022,Amare Barno
4259565,61,Georgia,SEC,Atlanta,2022,Justin Shaffer
4382466,127,Michigan State,Big Ten,Minnesota,2022,Jalen Nailor
4722908,2754,Youngstown State,MVFC,Indianapolis,2022,Andrew Ogletree
4038436,197,Oklahoma State,Big 12,Dallas,2022,Devin Harper
4261090,2005,Air Force,Mountain West,New Orleans,2022,Jordan Jackson
4379412,61,Georgia,SEC,Los Angeles,2022,Jamaree Salyer
4362748,142,Missouri,SEC,Baltimore,2022,Tyler Badie
4400960,2888,Ouachita Baptist,Great American,Jacksonville,2022,Gregory Junior
4241374,2567,SMU,American Athletic,Philadelphia,2022,Grant Calcaterra
4361788,2633,Tennessee,SEC,Carolina,2022,Cade Mays
4077786,138,Northwest Missouri State,Mid America,New England,2022,Sam Roberts
4362087,30,USC,Pac-12,Arizona,2022,Keaontay Ingram
4360174,201,Oklahoma,Big 12,Cleveland,2022,Michael Woods II
4259169,239,Baylor,Big 12,Chicago,2022,Trestan Ebner
4242436,2633,Tennessee,SEC,Tennessee,2022,Theo Jackson
4242229,99,LSU,SEC,Houston,2022,Austin Deculus
4242358,275,Wisconsin,Big Ten,Denver,2022,Matt Henningsen
4047178,356,Illinois,Big Ten,Chicago,2022,Doug Kramer
4241961,127,Michigan State,Big Ten,Pittsburgh,2022,Connor Heyward
4361979,259,Virginia Tech,ACC,Buffalo,2022,Luke Tenuta
4362642,99,LSU,SEC,New England,2022,Chasen Hines
4249128,26,UCLA,Pac-12,Los Angeles,2022,Quentin Lake
4360307,61,Georgia,SEC,Los Angeles,2022,Derion Kendrick
4379401,61,Georgia,SEC,Atlanta,2022,John FitzPatrick
4240434,154,Wake Forest,ACC,Los Angeles,2022,Ja'Sir Taylor
4260223,259,Virginia Tech,ACC,Arizona,2022,Lecitus Smith
4037474,2132,Cincinnati,American Athletic,Indianapolis,2022,Curtis Brooks
4240608,2296,Jackson State,SWAC,Detroit,2022,James Houston
4034779,135,Minnesota,Big Ten,Tampa Bay,2022,Ko Kieft
4372051,145,Ole Miss,SEC,Tennessee,2022,Chance Campbell
4243541,2116,UCF,American Athletic,San Francisco,2022,Kalia Davis
4259590,213,Penn State,Big Ten,San Francisco,2022,Tariq Castro-Fields
4242149,8,Arkansas,SEC,Jacksonville,2022,Montaric Brown
4241404,201,Oklahoma,Big 12,Cleveland,2022,Isaiah Thomas
