season,season_type,start_date,completed,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],start_time_tbd,venue_id,venue
2022,regular,2022-08-27T16:00:00.000Z,true,98,Western Kentucky,Conference USA,fbs,38,7,14,0,17,2046,Austin Peay,Atlantic Sun,fcs,27,10,7,3,7,false,3796,Houchens Industries-L. T. Smith Stadium
2022,regular,2022-08-27T16:30:00.000Z,true,77,Northwestern,Big Ten,fbs,31,3,14,7,7,158,Nebraska,Big Ten,fbs,28,7,7,14,0,false,3504,Aviva Stadium
2022,regular,2022-08-27T19:00:00.000Z,true,125762,Florida Memorial University,,,39,13,13,6,7,2206,Edward Waters,SIAC,ii,34,0,0,21,13,false,,
2022,regular,2022-08-27T19:30:00.000Z,true,2439,UNLV,Mountain West,fbs,52,10,35,0,7,304,Idaho State,Big Sky,fcs,21,7,0,7,7,false,6501,Allegiant Stadium
2022,regular,2022-08-27T19:30:00.000Z,true,55,Jacksonville State,Atlantic Sun,fcs,42,7,14,21,0,2617,Stephen F. Austin,Western Athletic,fcs,17,7,10,0,0,false,3689,Cramton Bowl
2022,regular,2022-08-27T20:00:00.000Z,true,328,Utah State,Mountain West,fbs,31,0,24,0,7,41,Connecticut,FBS Independents,fbs,20,14,0,0,6,false,3905,Romney Stadium
2022,regular,2022-08-27T20:00:00.000Z,true,356,Illinois,Big Ten,fbs,38,7,10,7,14,2751,Wyoming,Mountain West,fbs,6,3,0,3,0,false,3832,Memorial Stadium
2022,regular,2022-08-27T21:00:00.000Z,true,52,Florida State,ACC,fbs,47,20,6,14,7,2184,Duquesne,NEC,fcs,7,0,0,7,0,false,3697,Bobby Bowden Field at Doak Campbell Stadium
2022,regular,2022-08-27T23:00:00.000Z,true,2382,Mercer,Southern,fcs,63,14,28,14,7,2413,Morehead State,Pioneer,fcs,13,0,10,3,0,false,4417,Five Star Stadium at the Moye Complex
2022,regular,2022-08-27T23:00:00.000Z,true,2226,Florida Atlantic,Conference USA,fbs,43,10,16,7,10,2429,Charlotte,Conference USA,fbs,13,7,0,6,0,false,3715,FAU Stadium
2022,regular,2022-08-27T23:00:00.000Z,true,2011,Alabama State,SWAC,fcs,23,6,7,7,3,47,Howard,MEAC,fcs,13,3,3,0,7,false,4246,Georgia State Stadium
2022,regular,2022-08-28T00:15:00.000Z,true,153,North Carolina,ACC,fbs,56,14,14,7,21,50,Florida A&M,SWAC,fcs,24,7,7,10,0,false,3787,Kenan Memorial Stadium
2022,regular,2022-08-28T01:00:00.000Z,true,2638,UTEP,Conference USA,fbs,13,0,13,0,0,249,North Texas,Conference USA,fbs,31,0,14,14,3,false,3946,Sun Bowl Stadium
2022,regular,2022-08-28T02:00:00.000Z,true,166,New Mexico State,FBS Independents,fbs,12,0,2,7,3,2440,Nevada,Mountain West,fbs,23,0,17,0,6,false,3601,Aggie Memorial Stadium
2022,regular,2022-08-28T02:30:00.000Z,true,62,Hawai'i,Mountain West,fbs,10,7,3,0,0,238,Vanderbilt,SEC,fbs,63,14,7,35,7,false,7220,Clarence T.C. Ching Athletics Complex
2022,regular,2022-09-01T18:00:00.000Z,true,2424,New Mexico Highlands,Rocky Mountain,ii,18,0,3,7,8,2201,Eastern New Mexico,Lone Star,ii,34,3,7,17,7,false,6059,Sanchez Family Stadium
2022,regular,2022-09-01T21:30:00.000Z,true,2583,Southern Connecticut State,Northeast 10,ii,7,0,0,7,0,2974,Shepherd,Pennsylvania State Athletic,ii,48,14,13,21,0,false,6071,Jess Dow Field
2022,regular,2022-09-01T22:00:00.000Z,true,2804,Chowan,CIAA,ii,3,0,0,3,0,122666,Barton College,South Atlantic,ii,17,7,3,0,7,false,5220,Garrison Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,124180,Bluefield,Independent DII,ii,35,7,3,10,7,2304,Johnson C Smith,CIAA,ii,34,7,13,7,0,false,6221,Mitchell Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,129,Saginaw Valley,GLIAC,ii,72,20,17,7,28,455,WV Wesleyan,Mountain East,ii,0,0,0,0,0,false,3885,Harvey Randall Wickes Memorial Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,2839,Tusculum,South Atlantic,ii,70,14,21,21,14,395,St. Augustine's,CIAA,ii,13,0,6,0,7,false,6078,Pioneer Field (TN)
2022,regular,2022-09-01T22:00:00.000Z,true,2392,Michigan Tech,GLIAC,ii,23,0,7,16,0,272,Wisconsin-Platteville,Wisconsin,iii,13,0,0,7,6,false,3927,Sherman Field
2022,regular,2022-09-01T22:00:00.000Z,true,308,Ashland,Great Midwest Athletic,ii,31,7,10,0,14,587,Notre Dame College,Mountain East,ii,14,0,0,7,7,false,3770,Jack Miller Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,2681,Wagner,NEC,fcs,31,7,14,7,3,2230,Fordham,Patriot,fcs,48,7,7,20,14,false,3979,Wagner College Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,2134,Clarion,Pennsylvania State Athletic,ii,14,7,0,7,0,2699,West Liberty,Mountain East,ii,21,7,14,0,0,false,4437,"Memorial Stadium (Clarion, PA)"
2022,regular,2022-09-01T22:00:00.000Z,true,2097,Campbell,Big South,fcs,29,7,10,6,6,2643,The Citadel,Southern,fcs,10,3,0,0,7,false,3629,Barker-Lane Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,282,Indiana State,MVFC,fcs,17,3,3,0,8,2453,North Alabama,Atlantic Sun,fcs,14,0,7,0,7,false,3829,Memorial Stadium
2022,regular,2022-09-01T22:00:00.000Z,true,2006,Akron,Mid-American,fbs,30,3,7,7,6,2598,St Francis (PA),NEC,fcs,23,3,10,3,7,false,3768,Summa Field at InfoCision Stadium
2022,regular,2022-09-01T22:30:00.000Z,true,2858,California (PA),Pennsylvania State Athletic,ii,35,7,14,7,7,2986,Fairmont State,Mountain East,ii,15,0,6,3,6,false,4436,Adamson Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,367,Gannon,Pennsylvania State Athletic,ii,47,13,14,6,14,2128,Charleston (WV),Mountain East,ii,13,0,6,7,0,false,4441,McConnell Family Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,134,Minnesota-Duluth,Northern Sun,ii,31,7,14,0,10,2587,Southwest Minnesota State,Northern Sun,ii,21,7,0,14,0,false,6051,James S. Malosky Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2229,Florida International,Conference USA,fbs,38,0,6,0,24,2803,Bryant,Big South,fcs,37,9,7,0,14,false,218,FIU Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2842,UVA-Wise,South Atlantic,ii,41,21,10,10,0,366,Ferrum,Old Dominion,iii,9,0,0,6,3,false,6033,Carl Smith Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2817,Minnesota St-Moorhead,Northern Sun,ii,14,0,7,0,7,2894,Sioux Falls,Northern Sun,ii,27,10,10,7,0,false,3606,Scheels Field at Nemzek Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,132,Bemidji State,Northern Sun,ii,34,13,0,14,7,2364,Minnesota State,Northern Sun,ii,37,13,17,0,7,false,5874,Chet Anderson Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2651,Trine,Michigan,iii,38,7,17,14,0,2023,Anderson (IN),Heartland,iii,0,0,0,0,0,false,6130,Fred Zollner Athletic Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2398,Millsaps,Southern Athletic,iii,21,,,,,2056,Belhaven College,USA South,iii,49,,,,,false,6081,Harper Davis Field
2022,regular,2022-09-01T23:00:00.000Z,true,6353,Lakeland University,NACC,iii,20,6,0,0,14,2286,Illinois College,Midwest,iii,38,7,10,14,7,false,5918,Taylor Field
2022,regular,2022-09-01T23:00:00.000Z,true,2241,Gardner-Webb,Big South,fcs,56,28,14,14,0,2336,Limestone,South Atlantic,ii,21,0,7,7,7,false,3710,Ernest W. Spangler Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2633,Tennessee,SEC,fbs,59,17,21,14,7,2050,Ball State,Mid-American,fbs,10,0,0,7,3,false,3853,Neyland Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2649,Toledo,Mid-American,fbs,37,3,17,0,17,112358,Long Island University,NEC,fcs,0,0,0,0,0,false,3739,Glass Bowl
2022,regular,2022-09-01T23:00:00.000Z,true,341,Frostburg State,Mountain East,ii,21,7,7,0,7,2022,American International,Northeast 10,ii,7,0,0,0,7,false,3642,Bobcat Stadium (MD)
2022,regular,2022-09-01T23:00:00.000Z,true,425,Northern State,Northern Sun,ii,30,6,10,0,14,389,Upper Iowa,Northern Sun,ii,0,0,0,0,0,false,3951,Swisher Field
2022,regular,2022-09-01T23:00:00.000Z,true,2487,Pace,Northeast 10,ii,31,17,3,11,0,2188,East Stroudsburg,Pennsylvania State Athletic,ii,16,3,3,0,10,false,6066,Pace Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,197,Oklahoma State,Big 12,fbs,58,16,28,7,7,2117,Central Michigan,Mid-American,fbs,44,7,8,7,22,false,3646,Boone Pickens Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,221,Pittsburgh,ACC,fbs,38,3,7,14,14,277,West Virginia,Big 12,fbs,31,0,10,7,14,false,3752,Heinz Field
2022,regular,2022-09-01T23:00:00.000Z,true,160,New Hampshire,CAA,fcs,31,7,10,0,14,2405,Monmouth,CAA,fcs,21,7,7,7,0,false,3688,Wildcat Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2676,Virginia Union,CIAA,ii,77,14,21,28,14,2355,Virginia Lynchburg,,,0,0,0,0,0,false,6032,Hovey Field
2022,regular,2022-09-01T23:00:00.000Z,true,2830,St. Anselm,Northeast 10,ii,28,7,0,7,14,210,Millersville,Pennsylvania State Athletic,ii,10,0,3,0,7,false,6074,Grappone Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,112335,Wheeling Jesuit,Mountain East,ii,25,2,7,7,9,611,Seton Hill College,Pennsylvania State Athletic,ii,11,2,0,9,0,false,6212,Bishop Schmitt Field
2022,regular,2022-09-01T23:00:00.000Z,true,2673,Valdosta State,Gulf South,ii,36,3,3,17,13,126110,Keiser University,,,21,0,7,7,7,false,4851,Bazemore-Hyder Stadium
