collegeAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,name
4360310,228,Clemson,ACC,Jacksonville,2021,Trevor Lawrence
4361259,252,BYU,FBS Independents,New York,2021,Zach Wilson
4383351,2449,North Dakota State,MVFC,San Francisco,2021,Trey Lance
4360248,57,Florida,SEC,Atlanta,2021,Kyle Pitts
4362628,99,LSU,SEC,Cincinnati,2021,Ja'Marr Chase
4372016,333,Alabama,SEC,Miami,2021,Jaylen Waddle
4373825,2483,Oregon,Pac-12,Detroit,2021,Penei Sewell
4362847,2579,South Carolina,SEC,Carolina,2021,Jaycee Horn
4372012,333,Alabama,SEC,Denver,2021,Pat Surtain II
4241478,333,Alabama,SEC,Philadelphia,2021,DeVonta Smith
4362887,194,Ohio State,Big Ten,Chicago,2021,Justin Fields
4361423,213,Penn State,Big Ten,Dallas,2021,Micah Parsons
4242283,77,Northwestern,Big Ten,Los Angeles,2021,Rashawn Slater
4259646,30,USC,Pac-12,New York,2021,Alijah Vera-Tucker
4241464,333,Alabama,SEC,New England,2021,Mac Jones
4244606,202,Tulsa,American Athletic,Arizona,2021,Zaven Collins
4241466,333,Alabama,SEC,Las Vegas,2021,Alex Leatherwood
4242975,2390,Miami,ACC,Miami,2021,Jaelan Phillips
4240778,96,Kentucky,SEC,Washington,2021,Jamin Davis
4240600,57,Florida,SEC,New York,2021,Kadarius Toney
4258194,130,Michigan,Big Ten,Indianapolis,2021,Kwity Paye
4240859,259,Virginia Tech,ACC,Tennessee,2021,Caleb Farley
4361985,259,Virginia Tech,ACC,Minnesota,2021,Christian Darrisaw
4241457,333,Alabama,SEC,Pittsburgh,2021,Najee Harris
4239996,228,Clemson,ACC,Jacksonville,2021,Travis Etienne
4361266,77,Northwestern,Big Ten,Cleveland,2021,Greg Newsome II
4360939,135,Minnesota,Big Ten,Baltimore,2021,Rashod Bateman
4240269,248,Houston,American Athletic,New Orleans,2021,Payton Turner
4259561,61,Georgia,SEC,Green Bay,2021,Eric Stokes
4362506,2390,Miami,ACC,Buffalo,2021,Gregory Rousseau
4361422,213,Penn State,Big Ten,Baltimore,2021,Odafe Oweh
4243333,264,Washington,Pac-12,Tampa Bay,2021,Joe Tryon
4379397,61,Georgia,SEC,Jacksonville,2021,Tyson Campbell
4372414,145,Ole Miss,SEC,New York,2021,Elijah Moore
4361579,153,North Carolina,ACC,Denver,2021,Javonte Williams
4373809,2483,Oregon,Pac-12,Miami,2021,Jevon Holland
4035624,333,Alabama,SEC,Philadelphia,2021,Landon Dickerson
4372030,333,Alabama,SEC,New England,2021,Christian Barmore
4038457,197,Oklahoma State,Big 12,Chicago,2021,Teven Jenkins
4042119,2116,UCF,American Athletic,Atlanta,2021,Richie Grant
4039020,264,Washington,Pac-12,Detroit,2021,Levi Onwuzurike
4046694,87,Notre Dame,FBS Independents,Miami,2021,Liam Eichenberg
4362487,2628,TCU,Big 12,Las Vegas,2021,Trevon Moehrig
4362629,96,Kentucky,SEC,Dallas,2021,Kelvin Joseph
4242554,24,Stanford,Pac-12,Jacksonville,2021,Walker Little
4360320,228,Clemson,ACC,Cincinnati,2021,Jackson Carman
4363034,52,Florida State,ACC,Los Angeles,2021,Asante Samuel Jr.
4242390,87,Notre Dame,FBS Independents,San Francisco,2021,Aaron Banks
4372485,2509,Purdue,Big Ten,Arizona,2021,Rondale Moore
4379409,61,Georgia,SEC,New York,2021,Azeez Ojulari
4262199,251,Texas,Big 12,Washington,2021,Samuel Cosmi
4258599,87,Notre Dame,FBS Independents,Cleveland,2021,Jeremiah Owusu-Koramoah
4040945,2449,North Dakota State,MVFC,Tennessee,2021,Dillon Radunz
4242659,238,Vanderbilt,SEC,Indianapolis,2021,Dayo Odeyingbo
4361411,213,Penn State,Big Ten,Pittsburgh,2021,Pat Freiermuth
4043016,2711,Western Michigan,Mid-American,Seattle,2021,D'Wayne Eskridge
4360797,97,Louisville,ACC,Los Angeles,2021,Tutu Atwell
4362759,142,Missouri,SEC,Kansas City,2021,Nick Bolton
4362630,99,LSU,SEC,Carolina,2021,Terrace Marshall Jr.
4241993,194,Ohio State,Big Ten,New Orleans,2021,Pete Werner
4037239,154,Wake Forest,ACC,Buffalo,2021,Carlos Basham Jr.
4242000,194,Ohio State,Big Ten,Green Bay,2021,Josh Myers
4241385,201,Oklahoma,Big 12,Kansas City,2021,Creed Humphrey
4034946,57,Florida,SEC,Tampa Bay,2021,Kyle Trask
4361939,183,Syracuse,ACC,Jacksonville,2021,Andre Cisco
4240904,245,Texas A&M,SEC,Minnesota,2021,Kellen Mond
4242546,24,Stanford,Pac-12,Houston,2021,Davis Mills
4372093,130,Michigan,Big Ten,Atlanta,2021,Jalen Mayfield
4362094,251,Texas,Big 12,Cincinnati,2021,Joseph Ossai
4256062,252,BYU,FBS Independents,Carolina,2021,Brady Christensen
4040979,2116,UCF,American Athletic,New York,2021,Aaron Robinson
4361662,152,NC State,ACC,Detroit,2021,Alim McNeill
4239699,2348,Louisiana Tech,Conference USA,Philadelphia,2021,Milton Williams
4258206,135,Minnesota,Big Ten,Washington,2021,Benjamin St-Juste
4035840,26,UCLA,Pac-12,Dallas,2021,Osa Odighizuwa
4242547,24,Stanford,Pac-12,New Orleans,2021,Paulson Adebo
4242433,2633,Tennessee,SEC,Los Angeles,2021,Josh Palmer
4037521,153,North Carolina,ACC,Minnesota,2021,Chazz Surratt
4239719,2084,Buffalo,Mid-American,Las Vegas,2021,Malcolm Koonce
4037626,259,Virginia Tech,ACC,Las Vegas,2021,Divine Deablo
4239944,103,Boston College,ACC,Miami,2021,Hunter Long
4361577,153,North Carolina,ACC,Washington,2021,Dyami Brown
4372780,87,Notre Dame,FBS Independents,Carolina,2021,Tommy Tremble
4036132,2294,Iowa,Big Ten,Dallas,2021,Chauncey Golston
4239992,228,Clemson,ACC,Green Bay,2021,Amari Rodgers
4241999,194,Ohio State,Big Ten,Minnesota,2021,Wyatt Davis
4240548,356,Illinois,Big Ten,Pittsburgh,2021,Kendrick Green
4241401,194,Ohio State,Big Ten,San Francisco,2021,Trey Sermon
4258173,130,Michigan,Big Ten,Houston,2021,Nico Collins
4036063,221,Pittsburgh,ACC,Minnesota,2021,Patrick Jones II
4371986,2,Auburn,SEC,Cleveland,2021,Anthony Schwartz
4240692,61,Georgia,SEC,Tennessee,2021,Monty Rice
4030899,2460,Northern Iowa,MVFC,Buffalo,2021,Spencer Brown
4035002,61,Georgia,SEC,Baltimore,2021,Ben Cleveland
4242391,87,Notre Dame,FBS Independents,Tampa Bay,2021,Robert Hainsey
4360274,201,Oklahoma,Big 12,New England,2021,Ronnie Perkins
4240023,61,Georgia,SEC,Los Angeles,2021,Tre' McKitty
4608138,1000211,Wisconsin-Whitewater,,Denver,2021,Quinn Meinerz
4570470,204,Oregon State,Pac-12,Dallas,2021,Nahshon Wright
4243328,264,Washington,Pac-12,Tennessee,2021,Elijah Molden
4240401,183,Syracuse,ACC,Detroit,2021,Ifeatu Melifonwu
4258209,130,Michigan,Big Ten,San Francisco,2021,Ambry Thomas
4362851,2579,South Carolina,SEC,Los Angeles,2021,Ernest Jones
4035824,2567,SMU,American Athletic,Baltimore,2021,Brandon Stephens
4241987,194,Ohio State,Big Ten,Denver,2021,Baron Browning
4259647,30,USC,Pac-12,Jacksonville,2021,Jay Tufele
4240657,153,North Carolina,ACC,New York,2021,Michael Carter
4261606,21,San Diego State,Mountain West,Atlanta,2021,Darren Hall
4036026,97,Louisville,ACC,Tennessee,2021,Dez Fitzpatrick
4258181,2132,Cincinnati,American Athletic,Cleveland,2021,James Hudson
4243923,2655,Tulane,American Athletic,Cincinnati,2021,Cameron Sample
4374302,30,USC,Pac-12,Detroit,2021,Amon-Ra St. Brown
4260409,2509,Purdue,Big Ten,Detroit,2021,Derrick Barnes
4242553,24,Stanford,Pac-12,Atlanta,2021,Drew Dalman
4040940,99,LSU,SEC,Dallas,2021,Jabril Cox
4030924,2460,Northern Iowa,MVFC,New York,2021,Elerson Smith
4372518,245,Texas A&M,SEC,Los Angeles,2021,Bobby Brown III
4240475,150,Duke,ACC,Los Angeles,2021,Chris Rumph II
4035537,66,Iowa State,Big 12,Minnesota,2021,Kene Nwangwu
4569173,201,Oklahoma,Big 12,New England,2021,Rhamondre Stevenson
4034957,5,UAB,Conference USA,Jacksonville,2021,Jordan Smith
4242228,99,LSU,SEC,Cincinnati,2021,Tyler Shelvin
4045161,2641,Texas Tech,Big 12,Philadelphia,2021,Zech McPhearson
4048228,68,Boise State,Mountain West,Washington,2021,John Bates
4035861,25,California,Pac-12,Minnesota,2021,Camryn Bynum
4241416,197,Oklahoma State,Big 12,Carolina,2021,Chuba Hubbard
4039160,2567,SMU,American Athletic,Indianapolis,2021,Kylen Granson
4240920,245,Texas A&M,SEC,Pittsburgh,2021,Dan Moore Jr.
4243830,249,North Texas,Conference USA,Tampa Bay,2021,Jaelon Darden
4032200,2110,Central Arkansas,Southland,Los Angeles,2021,Robert Rochell
4241424,197,Oklahoma State,Big 12,Baltimore,2021,Tylan Wallace
4361366,194,Ohio State,Big Ten,Cleveland,2021,Tommy Togiai
4046678,87,Notre Dame,FBS Independents,New Orleans,2021,Ian Book
4035604,52,Florida State,ACC,Minnesota,2021,Janarius Robinson
4036076,221,Pittsburgh,ACC,Tennessee,2021,Rashad Weaver
4240595,57,Florida,SEC,Arizona,2021,Marco Wilson
4241373,201,Oklahoma,Big 12,Seattle,2021,Tre Brown
4035626,276,Marshall,Conference USA,Dallas,2021,Josh Ball
4038565,151,East Carolina,American Athletic,Cincinnati,2021,D'Ante Smith
4240900,245,Texas A&M,SEC,Pittsburgh,2021,Buddy Johnson
3932144,2116,UCF,American Athletic,Los Angeles,2021,Jacob Harris
4047660,145,Ole Miss,SEC,Green Bay,2021,Royce Newman
4241195,142,Missouri,SEC,Las Vegas,2021,Tyree Gillespie
4240026,52,Florida State,ACC,Kansas City,2021,Joshua Kaindoh
4040612,194,Ohio State,Big Ten,Jacksonville,2021,Luke Farrell
4361331,2,Auburn,SEC,New York,2021,Jamien Sherwood
4362504,2390,Miami,ACC,Houston,2021,Brevin Jordan
4262197,251,Texas,Big 12,Atlanta,2021,Ta'Quon Graham
4360234,57,Florida,SEC,Cincinnati,2021,Evan McPherson
4371733,235,Memphis,American Athletic,Philadelphia,2021,Kenneth Gainwell
4241217,142,Missouri,SEC,Chicago,2021,Larry Borom
4362077,251,Texas,Big 12,Denver,2021,Caden Sterns
4245655,277,West Virginia,Big 12,Cleveland,2021,Tony Fields II
4240456,150,Duke,ACC,New York,2021,Michael Carter II
4043041,2711,Western Michigan,Mid-American,San Francisco,2021,Jaylon Moore
4035798,275,Wisconsin,Big Ten,Pittsburgh,2021,Isaiahh Loudermilk
4240573,2294,Iowa,Big Ten,Minnesota,2021,Ihmir Smith-Marsette
